,1P1F,1P2F,2P1F,2P2F,F1,F2,Condicion,Final,Año,Tipo_Cursada,Virtual,Oral,Grupo
0,,,,,,,Desaprobado,,2020,Verano,No,,
1,,7.0,8.2,,,,Promocionado,8.0,2020,Verano,No,,
2,,,,,,,Desaprobado,,2020,Verano,No,,
3,,,,,,,Desaprobado,,2020,Verano,No,,
4,,,,,,,Libre,,2020,Verano,No,,
5,,,,,,,Desaprobado,,2020,Verano,No,,
6,,,,,,,Abandonó,,2020,Verano,No,,
7,,,,4.2,7.8,,Promocionado,6.0,2020,Verano,No,,
8,,,,,,,Abandonó,,2020,Verano,No,,
9,,,,,,,Abandonó,,2020,Verano,No,,
10,8.6,,7.9,,,,Promocionado,8.0,2020,Verano,No,,
11,7.5,,7.1,,,,Promocionado,7.0,2020,Verano,No,,
12,,8.3,9.5,,,,Promocionado,9.0,2020,Verano,No,,
13,7.6,,9.4,,,,Promocionado,9.0,2020,Verano,No,,
14,6.8999999999999995,,8.2,,,,Promocionado,8.0,2020,Verano,No,,
15,,,,,,,Abandonó,,2020,Verano,No,,
16,,8.7,5.9,,,,Promocionado,7.0,2020,Verano,No,,
17,,,7.1,,,,Abandonó,,2020,Verano,No,,
18,,,,,,,Abandonó,,2020,Verano,No,,
19,,6.3,6.5,,,,Promocionado,6.0,2020,Verano,No,,
20,,,,,,,Desaprobado,,2020,Verano,No,,
21,,,,,,,Desaprobado,,2020,Verano,No,,
22,,,,,,,Abandonó,,2020,Verano,No,,
23,,,,,,,Libre,,2020,Verano,No,,
24,,,,,,,Abandonó,,2020,Verano,No,,
25,,,,,,,Libre,,2020,Verano,No,,
26,6.6,,,6.199999999999999,,,Promocionado,6.0,2020,Verano,No,,
27,,8.6,5.7,,,,Promocionado,7.0,2020,Verano,No,,
28,,,,,,,Abandonó,,2020,Verano,No,,
29,,,,,,,Abandonó,,2020,Verano,No,,
30,,,,,,,Desaprobado,,2020,Verano,No,,
31,,,,,,,Desaprobado,,2020,Verano,No,,
32,,,7.1,,7.3999999999999995,,Promocionado,7.0,2020,Verano,No,,
33,,,6.6,,7.6,,Promocionado,7.0,2020,Verano,No,,
34,,,,,,,Desaprobado,,2020,Verano,No,,
35,,,,,,,Libre,,2020,Verano,No,,
36,,,,,,,Abandonó,,2020,Verano,No,,
37,,,,,,,Abandonó,,2020,Verano,No,,
38,6.8,,,,,5.9,Promocionado,6.0,2020,Verano,No,,
39,,,,,,,Libre,,2020,Verano,No,,
40,,,,5.800000000000001,7.8,,Promocionado,7.0,2020,Verano,No,,
41,8.2,,,7.3999999999999995,,,Promocionado,8.0,2020,Verano,No,,
42,,,,,,,Libre,,2020,Verano,No,,
43,,,,,,,Desaprobado,,2020,Verano,No,,
44,,,,,,,Abandonó,,2020,Verano,No,,
45,,,,,,,Libre,,2020,Verano,No,,
46,8.1,,8.7,,,,Promocionado,8.0,2020,Verano,No,,
47,,,,5.7,9.5,,Promocionado,8.0,2020,Verano,No,,
48,9.4,,8.600000000000001,,,,Promocionado,9.0,2020,Verano,No,,
49,,,,,,,Desaprobado,,2020,Verano,No,,
50,,,,,,,Desaprobado,,2020,Verano,No,,
51,7.0,,9.5,,,,Promocionado,8.0,2020,Verano,No,,
52,5.7,6.6000000000000005,,,,7.1,Promocionado,7.0,2020,Verano,No,,
53,,,,,,,Abandonó,,2020,Verano,No,,
54,,,,,,,Abandonó,,2020,Verano,No,,
55,,,4.1,7.6,,,Abandonó,,2020,Verano,No,,
56,,,,,,,Libre,,2020,Verano,No,,
57,,,,,,,Libre,,2020,Verano,No,,
58,,,,,,,Libre,,2020,Verano,No,,
59,,,,,,,Libre,,2020,Verano,No,,
60,,,,,,,Libre,,2020,Verano,No,,
61,8.5,,6.6,8.6,,,Promocionado,9.0,2020,Verano,No,,
62,,,,,,,Abandonó,,2020,Verano,No,,
63,,,,,,,Libre,,2020,Verano,No,,
64,,7.800000000000001,9.0,,,,Promocionado,8.0,2020,Verano,No,,
65,,,,,,,Abandonó,,2020,Verano,No,,
66,7.5,,7.300000000000001,,,,Promocionado,7.0,2020,Verano,No,,
67,,6.4,,7.1,,,Promocionado,7.0,2020,Verano,No,,
68,5.9,5.4,,,,8.2,Promocionado,7.0,2020,Verano,No,,
69,6.7,,6.4,,,,Promocionado,7.0,2020,Verano,No,,
70,,6.6,,,,6.4,Promocionado,7.0,2020,Verano,No,,
71,7.1,,7.2,,,,Promocionado,7.0,2020,Verano,No,,
72,,,,,,,Desaprobado,,2020,Verano,No,,
73,,,,5.9,7.4,,Promocionado,7.0,2020,Verano,No,,
74,,,,,,,Libre,,2020,Verano,No,,
75,,,,,,,Abandonó,,2020,Verano,No,,
76,,,,,,,Abandonó,,2020,Verano,No,,
77,,,,,,,Abandonó,,2020,Verano,No,,
78,,,,,,,Libre,,2020,Verano,No,,
79,,,,,,,Abandonó,,2020,Verano,No,,
80,,,,,,,Abandonó,,2020,Verano,No,,
81,9.3,,9.2,,,,Promocionado,9.0,2020,Verano,No,,
82,,,,7.0,6.6,,Promocionado,7.0,2020,Verano,No,,
83,6.9,,6.4,,,,Promocionado,7.0,2020,Verano,No,,
84,,,,,,,Libre,,2020,Verano,No,,
85,,,5.9,,6.3999999999999995,,Promocionado,6.0,2020,Verano,No,,
86,,,,,,,Abandonó,,2020,Verano,No,,
87,,,,,,,Abandonó,,2020,Verano,No,,
88,,6.6,5.1,7.2,,,Promocionado,7.0,2020,Verano,No,,
89,,,,,,,Libre,,2020,Verano,No,,
90,,,,,,,Abandonó,,2020,Verano,No,,
91,,,,,,,Libre,,2020,Verano,No,,
92,,,,,,,Abandonó,,2020,Verano,No,,
93,,6.300000000000001,7.2,,,,Promocionado,7.0,2020,Verano,No,,
94,,,5.699999999999999,5.3999999999999995,6.6,,Promocionado,6.0,2020,Verano,No,,
95,,,,,,,Libre,,2020,Verano,No,,
96,,8.0,9.1,,,,Promocionado,9.0,2020,Verano,No,,
97,,6.4,,7.3,,,Promocionado,7.0,2020,Verano,No,,
98,,,,,,,Abandonó,,2020,Verano,No,,
99,,,,,,,Desaprobado,,2020,Verano,No,,
100,,4.7,5.199999999999999,6.8,6.8,,Promocionado,7.0,2020,Verano,No,,
101,,7.5,6.300000000000001,,,,Promocionado,7.0,2020,Verano,No,,
102,,6.4,,6.9,,,Promocionado,7.0,2020,Verano,No,,
103,,,,,,,Libre,,2020,Verano,No,,
104,,,6.199999999999999,,7.4,,Promocionado,7.0,2020,Verano,No,,
105,,,,,,,Libre,,2020,Verano,No,,
106,8.4,,6.3999999999999995,,,,Promocionado,7.0,2020,Verano,No,,
107,,,,,,,Libre,,2020,Verano,No,,
108,8.7,,7.9,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
109,6.6,,,,,,Abandonó,,2020,Anticipada,Si,,
110,6.0,,7.95,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
111,5.9,,5.2,4.4,,8.3,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
112,5.3,,4.3,3.3,,5.2,Desaprobado,,2020,Anticipada,Si,,
113,8.6,,8.3,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
114,2.6,,,,,,Abandonó,,2020,Anticipada,Si,,
115,8.7,,0.0,9.8,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
116,4.3,4.7,6.1,,5.5,,Desaprobado,,2020,Anticipada,Si,,
117,3.2,4.8,2.35,3.4,,3.9,Desaprobado,,2020,Anticipada,Si,,
118,7.7,,7.4,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
119,8.0,,8.2,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
120,9.2,,8.6,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
121,9.2,,7.5,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
122,9.0,,9.2,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
123,,,,,,,Libre,,2020,Anticipada,Si,,
124,8.3,,9.55,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
125,9.0,,8.45,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
126,1.7,4.5,,,,,Abandonó,,2020,Anticipada,Si,,
127,,,,,,,Libre,,2020,Anticipada,Si,,
128,3.2,6.6,0.3,0.0,,5.4,Desaprobado,,2020,Anticipada,Si,Desaprobado,
129,5.3,,2.15,3.0,,,Abandonó,,2020,Anticipada,Si,,
130,0.8,,,,,,Abandonó,,2020,Anticipada,Si,,
131,8.6,,8.2,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
132,,,,,,,Libre,,2020,Anticipada,Si,,
133,4.1,,,2.1,,,Abandonó,,2020,Anticipada,Si,,
134,6.5,,,,,,Abandonó,,2020,Anticipada,Si,,
135,8.9,,7.05,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
136,,,,,,,Libre,,2020,Anticipada,Si,,
137,7.4,,6.6,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
138,,,,,,,Libre,,2020,Anticipada,Si,,
139,7.1,,6.6,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
140,4.9,4.0,1.55,4.95,4.9,,Desaprobado,,2020,Anticipada,Si,,
141,8.4,,7.25,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
142,8.6,,8.25,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
143,8.5,,6.55,,,,Promocionado,6.0,2020,Anticipada,Si,Aprobado,
144,9.2,,9.9,,,,Promocionado,10.0,2020,Anticipada,Si,Aprobado,
145,7.2,,7.6,,,,Promocionado,6.0,2020,Anticipada,Si,Aprobado,
146,,,,,,,Libre,,2020,Anticipada,Si,,
147,6.0,,6.35,,,,Desaprobado,,2020,Anticipada,Si,Desaprobado,
148,8.9,,10.0,,,,Promocionado,9.0,2020,Anticipada,Si,Aprobado,
149,,,,,,,Libre,,2020,Anticipada,Si,,
150,7.5,,9.25,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
151,3.6,5.9,5.75,7.4,,,Promocionado,6.0,2020,Anticipada,Si,Aprobado,
152,7.7,,2.95,4.5,,,Promocionado,6.0,2020,Anticipada,Si,Aprobado,
153,2.5,,,,,,Abandonó,,2020,Anticipada,Si,,
154,,,,,,,Libre,,2020,Anticipada,Si,,
155,10.0,,9.25,,,,Promocionado,10.0,2020,Anticipada,Si,Aprobado,
156,8.8,,7.9,,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
157,8.2,,6.4,,,,Promocionado,6.0,2020,Anticipada,Si,Aprobado,
158,6.3,,2.35,9.8,,,Promocionado,8.0,2020,Anticipada,Si,Aprobado,
159,,,,,,,Libre,,2020,Anticipada,Si,,
160,6.9,,7.25,,,,Promocionado,7.0,2020,Anticipada,Si,Aprobado,
161,9.2,,,,,,Abandonó,,2020,Anticipada,Si,,
162,5.6,,,,,,Abandonó,,2020,Anticipada,Si,,
163,9.5,,9.0,,,,Promocionado,10.0,2020,Anticipada,Si,Aprobado,
164,6.0,,1.85,1.08,,1.27,Desaprobado,,2020,Anticipada,Si,,
165,4.5,,5.2,5.8,6.7,,Desaprobado,,2020,Anticipada,Si,Desaprobado,
